departamento,fecha,precip_mm,temp_celsius
Huila,2020-07-20,1.889077910904227,17.517233646477607
Huila,2020-07-21,0.0392108732098753,17.565434249353764
Huila,2020-07-22,0.015894543742204,17.876585230851354
Huila,2020-07-23,8.916970093855733,17.505282476502284
Huila,2020-07-24,4.660697259801908,16.845360139581945
Huila,2020-07-25,18.012262753943123,16.384966844605078
Huila,2020-07-26,0.1451143986045794,16.869629467375724
Huila,2020-07-27,0.0383851213398162,17.621364422436557
Huila,2020-07-28,0.0,17.834038956144475
Huila,2020-07-29,1.712522497801369,17.745256539944958
Huila,2020-07-30,1.939414879409272,17.16516023653919
Huila,2020-07-31,0.0,17.612289527366517
Huila,2020-08-01,0.0,17.236035614549266
Huila,2020-08-02,0.0,17.170830189081524
Huila,2020-08-03,0.0,16.956817839241516
Huila,2020-08-04,0.0,16.87997211334573
Huila,2020-08-05,0.2137091069074202,16.877996641310265
Huila,2020-08-06,0.0,17.148774146374116
Huila,2020-08-07,0.0,16.869115442231532
Huila,2020-08-08,0.0,16.786460169579545
Huila,2020-08-09,0.0,17.2550646232499
Huila,2020-08-10,0.0,17.79206587676964
Huila,2020-08-11,0.0,18.508206950479988
Huila,2020-08-12,1.161585930495852,18.821039068888744
Huila,2020-08-13,4.685257571002739,18.566769901604363
Huila,2020-08-14,0.7654286436021271,18.579582574046604
Huila,2020-08-15,13.440411247610443,18.136168965428183
Huila,2020-08-16,4.296000203075768,17.88855289389638
Huila,2020-08-17,8.757279666757686,17.93793970639546
Huila,2020-08-18,0.2550886263248854,18.385370377067854
Huila,2020-08-19,3.282316638265043,18.4156324745901
Huila,2020-08-20,0.2719658142084317,18.47007251665329
Huila,2020-08-21,1.83971608290655,18.662167534254817
Huila,2020-08-22,9.946263412322187,17.461194451106937
Huila,2020-08-23,0.1850207409287846,17.928272108909184
Huila,2020-08-24,0.5865570174697653,18.362748299791235
Huila,2020-08-25,1.4583741547326166,17.93550958933011
Huila,2020-08-26,0.1657390013286601,18.316064624383927
Huila,2020-08-27,4.498798143535799,17.98128240806949
Huila,2020-08-28,2.778636143262792,18.513003246900407
Huila,2020-08-29,11.574274294801375,18.708018374813843
Huila,2020-08-30,15.263968698249364,18.111796092353188
Huila,2020-08-31,4.678880509093952,18.12723043885368
Huila,2020-09-01,1.713517604878825,18.001460390339236
Huila,2020-09-02,0.1180252029250766,17.762767120725993
Huila,2020-09-03,0.0,18.26880150668379
Huila,2020-09-04,11.910718566746018,18.422323367569582
Huila,2020-09-05,0.0690946191935701,18.773261812806563
Huila,2020-09-06,0.4245984616928912,18.433309249497214
Huila,2020-09-07,0.0,18.65342487817784
Huila,2020-09-08,7.732872895878519,18.465060293919628
Huila,2020-09-09,0.5929569843088401,18.202050167387988
Huila,2020-09-10,0.2806322030986965,18.66043957410903
Huila,2020-09-11,0.046630508187949,18.89751246232869
Huila,2020-09-12,0.2901438773982896,18.69415492449437
Huila,2020-09-13,1.6403154711818464,18.11225984562352
Huila,2020-09-14,0.1629212539676659,18.59525918245877
Huila,2020-09-15,0.0,19.07946986380728
Huila,2020-09-16,1.0434001621553808,18.82811426649048
Huila,2020-09-17,10.321483557819477,18.490504722731924
Huila,2020-09-18,7.000844154525447,18.72554658270185
Huila,2020-09-19,13.723669764045018,17.983188377467773
Huila,2020-09-20,10.174206165984168,18.0599070444641
Huila,2020-09-21,0.0,18.724409450485144
Huila,2020-09-22,0.0,18.907930692799287
Huila,2020-09-23,8.325672725025646,18.117322484039573
Huila,2020-09-24,1.3331710507998007,17.233668349856707
Huila,2020-09-25,0.5440828503486255,17.797303072244198
Huila,2020-09-26,0.231173331731387,18.36477762027061
Huila,2020-09-27,5.089286866521585,18.745309915373
Huila,2020-09-28,2.321709419797667,18.67422376674836
Huila,2020-09-29,5.150416400863333,18.242071598633856
Huila,2020-09-30,0.0394229027317708,17.869191454168394
Huila,2020-10-01,0.0,18.14880982932774
Huila,2020-10-02,0.0,18.69443570828402
Huila,2020-10-03,2.704618056728951,18.201462433810217
Huila,2020-10-04,1.2777080905840978,17.08970482505462
Huila,2020-10-05,0.0,17.506401005799642
Huila,2020-10-06,0.0075206890774907,18.332297165538854
Huila,2020-10-07,0.7086457555397173,18.06395428481714
Huila,2020-10-08,0.7215449164247081,17.486644578938368
Huila,2020-10-09,0.0,18.096088705090363
Huila,2020-10-10,0.0,18.34730348193056
Huila,2020-10-11,0.0223506750463685,18.34856587368288
Huila,2020-10-12,0.0732048415223506,18.371671683855823
Huila,2020-10-13,0.3151704601492976,17.69131285215638
Huila,2020-10-14,0.0,18.34045872597948
Huila,2020-10-15,0.9631174196994956,18.415290547540973
Huila,2020-10-16,2.5383949916291173,17.930371117345516
Huila,2020-10-17,0.0,17.895726618332656
Huila,2020-10-18,1.4008692475157545,18.417531922128664
Huila,2020-10-19,4.878940649052591,18.7453531415387
Huila,2020-10-20,1.59067932927344,18.95788402090126
Huila,2020-10-21,14.262673733008151,18.40156098767651
Huila,2020-10-22,0.5556556600501728,17.88242868979307
Huila,2020-10-23,4.226626875573714,18.23308644555916
Huila,2020-10-24,0.4466166043146893,18.71831357365496
Huila,2020-10-25,0.3079073804455042,18.913057979515763
Huila,2020-10-26,3.469220048492162,19.402173953228075
Huila,2020-10-27,6.581642635167668,19.76322329970008
Huila,2020-10-28,27.40196418662521,19.00061887488431
Huila,2020-10-29,3.7261191543260432,18.71422340182314
Huila,2020-10-30,17.720590594160793,18.52140841495428
Huila,2020-10-31,11.530644878300718,18.171057599220504
Huila,2020-11-01,15.861685687649103,18.000804206955777
Huila,2020-11-02,2.2681717999581004,18.87521404818448
Huila,2020-11-03,0.142724959802492,18.55245346911729
Huila,2020-11-04,3.513056731990278,18.51380052633083
Huila,2020-11-05,4.790992308022357,18.86297842360971
Huila,2020-11-06,10.155322247301848,18.878825720272253
Huila,2020-11-07,18.56122067711955,18.708747264237005
Huila,2020-11-08,0.6267360624701273,18.52551572792222
Huila,2020-11-09,0.2298148822146078,18.69468367273007
Huila,2020-11-10,3.4202321488077163,18.222637746802697
Huila,2020-11-11,7.928900897414759,18.66124744485196
Huila,2020-11-12,11.046619675906571,17.91859701244737
Huila,2020-11-13,26.251722533955014,18.70074258804996
Huila,2020-11-14,12.067528392412871,18.12411120673185
Huila,2020-11-15,10.595463340409651,18.36811638391092
Huila,2020-11-16,26.517444939471787,17.90891899407803
Huila,2020-11-17,5.113486407630393,17.983975276815556
Huila,2020-11-18,12.240652531048951,17.60364839736668
Huila,2020-11-19,1.9322567012818652,18.14883303336867
Huila,2020-11-20,1.6416399067611958,18.32395234665772
Huila,2020-11-21,12.11441186259288,18.63847915169293
Huila,2020-11-22,1.1811077026248904,18.56799971166639
Huila,2020-11-23,5.867253061637149,18.26977895502203
Huila,2020-11-24,0.0,18.55815532668766
Huila,2020-11-25,0.2030693591733137,18.653591582762868
Huila,2020-11-26,8.109898381985673,18.98482168152256
Huila,2020-11-27,10.44248277841065,18.05478945871921
Huila,2020-11-28,7.512094830487639,18.04212769349212
Huila,2020-11-29,6.603715276812452,17.997590706919226
Huila,2020-11-30,1.0220982689229934,18.4060856789313
Huila,2020-12-01,0.8025403922483983,18.56139934449982
Huila,2020-12-02,38.51706501656669,17.945570541500025
Huila,2020-12-03,1.4708455345862332,18.108205768422263
Huila,2020-12-04,0.5974826237155808,18.574326356510785
Huila,2020-12-05,1.0489014804541323,18.261135263682565
Huila,2020-12-06,0.5596239085947128,17.93635916442015
Huila,2020-12-07,2.5291620300418685,18.28298522173657
Huila,2020-12-08,9.605080586066943,18.13557006858217
Huila,2020-12-09,3.042414291283748,18.21697697197597
Huila,2020-12-10,1.389306760913448,18.353516660444942
Huila,2020-12-11,1.885059005491075,18.86735079756775
Huila,2020-12-12,2.8473492588894875,18.65251431611784
Huila,2020-12-13,3.174964641628516,18.24385689516229
Huila,2020-12-14,0.0842603633378162,18.51539078175881
Huila,2020-12-15,2.968137879725399,18.320522713185788
Huila,2020-12-16,2.8379297877456047,18.29974360695385
Huila,2020-12-17,0.8295268993731244,18.4950313080644
Huila,2020-12-18,2.9198012709367696,18.42402099249481
Huila,2020-12-19,4.6208552629501325,18.41621240490761
Huila,2020-12-20,0.4552642530891732,18.341902922683488
Huila,2020-12-21,2.174290525406372,18.45948792893413
Huila,2020-12-22,0.0793655081500075,18.72962619157998
Huila,2020-12-23,0.8505124922525023,18.848373331319337
Huila,2020-12-24,8.29911700572078,18.922317795928198
Huila,2020-12-25,25.278678078921647,18.485255567256026
Huila,2020-12-26,16.541316414224074,16.926550745430397
Huila,2020-12-27,5.892043658006799,17.41055518275519
