departamento,fecha,precip_mm
Boyaca,2019-01-16,3.9084567723562853
Buenaventura,2019-01-16,32.964054107666016
Caldas,2019-01-16,7.3771408648618175
Caqueta,2019-01-16,1.2729618614602474
Casanare,2019-01-16,0.009525947589735172
Cauca,2019-01-16,10.929126846617008
Cesar,2019-01-16,0.06635340351938601
Choco,2019-01-16,5.674629434322567
Cordoba,2019-01-16,0.9769975119703709
Cundinamarca,2019-01-16,3.4948674929237113
Guainia,2019-01-16,3.2542945862579855
Guajira,2019-01-16,0.0
Guaviare,2019-01-16,0.08254787864306287
Huila,2019-01-16,0.057728432141150955
Magdalena,2019-01-16,0.01575359280828171
Meta,2019-01-16,0.017592964586277675
Narino,2019-01-16,18.690628474674593
Norte De Santander,2019-01-16,0.5942251086235045
Putumayo,2019-01-16,3.78961038597698
Quindio,2019-01-16,9.024825199919018
Risaralda,2019-01-16,7.746585551519558
San Andres Y Providencia,2019-01-16,
Santander,2019-01-16,10.23979868460855
Sucre,2019-01-16,0.0
Tolima,2019-01-16,2.5031409893865035
Valle Del Cauca,2019-01-16,15.586308566771718
Vaupes,2019-01-16,7.493531199139308
Vichada,2019-01-16,0.786458566237427
Amazonas,2019-01-17,21.95858061329078
Antioquia,2019-01-17,4.001810341826314
Arauca,2019-01-17,0.6563065824296928
Atlantico,2019-01-17,0.5092258497494598
Bolivar,2019-01-17,1.8325712040513147
Boyaca,2019-01-17,1.8591822948746592
Buenaventura,2019-01-17,0.0
Caldas,2019-01-17,3.0976570719130834
Caqueta,2019-01-17,11.793120776377673
Casanare,2019-01-17,4.7043306333999007E-4
Cauca,2019-01-17,2.31777968519632
Cesar,2019-01-17,1.1437427977757106
Choco,2019-01-17,11.881356527333852
Cordoba,2019-01-17,1.1698544926586874
Cundinamarca,2019-01-17,0.23847079968630505
Guainia,2019-01-17,6.570429321328749
Guajira,2019-01-17,0.9490659105739555
Guaviare,2019-01-17,3.6943657563820325
Huila,2019-01-17,0.0
Magdalena,2019-01-17,1.4036438192850311
Meta,2019-01-17,1.9473989877850577
Narino,2019-01-17,0.8617976356974892
Norte De Santander,2019-01-17,1.2536625704516926
Putumayo,2019-01-17,15.838198703108118
Quindio,2019-01-17,0.03976788718900654
Risaralda,2019-01-17,7.8970123526523714
San Andres Y Providencia,2019-01-17,
Santander,2019-01-17,1.4727783937698602
Sucre,2019-01-17,0.06978172426162378
Tolima,2019-01-17,1.2108267569216564
Valle Del Cauca,2019-01-17,0.6262078092425262
Vaupes,2019-01-17,9.438563767821142
Vichada,2019-01-17,2.987747973971773
Amazonas,2019-01-18,5.386748493292622
Antioquia,2019-01-18,0.02051892269503645
Arauca,2019-01-18,0.0026975674253141204
Atlantico,2019-01-18,0.17759230142387017
Bolivar,2019-01-18,0.00976671954589797
Boyaca,2019-01-18,0.1684078358815657
Buenaventura,2019-01-18,0.0
Caldas,2019-01-18,1.9656791750796547
Caqueta,2019-01-18,21.457272087199133
Casanare,2019-01-18,0.016556826179152176
Cauca,2019-01-18,2.6318094810545456
Cesar,2019-01-18,0.0
Choco,2019-01-18,1.200125322241851
Cordoba,2019-01-18,0.0
Cundinamarca,2019-01-18,0.4998173044613454
Guainia,2019-01-18,10.50631557580789
Guajira,2019-01-18,0.0
Guaviare,2019-01-18,7.048273109133844
Huila,2019-01-18,0.0
Magdalena,2019-01-18,0.05036931757686702
Meta,2019-01-18,5.901209962574069
Narino,2019-01-18,7.056549712236132
Norte De Santander,2019-01-18,0.19910014195457687
Putumayo,2019-01-18,15.536091772320045
Quindio,2019-01-18,0.0
Risaralda,2019-01-18,0.0
San Andres Y Providencia,2019-01-18,
Santander,2019-01-18,0.006289519398950176
Sucre,2019-01-18,0.0
Tolima,2019-01-18,0.40155347788275586
Valle Del Cauca,2019-01-18,1.0568810307852956
Vaupes,2019-01-18,7.028566668070112
Vichada,2019-01-18,2.0292423678853226
Amazonas,2019-01-19,19.949077429333073
Antioquia,2019-01-19,0.729665877826083
Arauca,2019-01-19,0.015131001929807014
Atlantico,2019-01-19,0.0
Bolivar,2019-01-19,0.0
Boyaca,2019-01-19,0.3129937667069534
Buenaventura,2019-01-19,0.0
Caldas,2019-01-19,0.0
Caqueta,2019-01-19,11.777010844217113
Casanare,2019-01-19,0.07514531923417195
Cauca,2019-01-19,0.09744165499236081
Cesar,2019-01-19,4.828573724754122E-5
Choco,2019-01-19,2.480559701574675
Cordoba,2019-01-19,0.0
Cundinamarca,2019-01-19,0.14099726580146194
Guainia,2019-01-19,12.668279945190948
Guajira,2019-01-19,0.0
Guaviare,2019-01-19,14.066739479233046
Huila,2019-01-19,0.06458277674322452
Magdalena,2019-01-19,0.005172951769057092
Meta,2019-01-19,4.954176324432162
Narino,2019-01-19,0.059527931679639275
Norte De Santander,2019-01-19,0.04273831225855896
Putumayo,2019-01-19,13.635357367172094
Quindio,2019-01-19,0.0
Risaralda,2019-01-19,0.04605423303838214
San Andres Y Providencia,2019-01-19,
Santander,2019-01-19,0.01073511955917881
Sucre,2019-01-19,0.0
Tolima,2019-01-19,0.1760267579516205
Valle Del Cauca,2019-01-19,0.18861315232820963
Vaupes,2019-01-19,4.959774440933413
Vichada,2019-01-19,1.2346663075285542
Amazonas,2019-01-20,13.07411732457027
Antioquia,2019-01-20,0.37596541141443884
Arauca,2019-01-20,0.0
Atlantico,2019-01-20,0.0
Bolivar,2019-01-20,0.08596455603000325
Boyaca,2019-01-20,0.2221932064654076
Buenaventura,2019-01-20,0.0
Caldas,2019-01-20,1.6620764856893124
Caqueta,2019-01-20,6.755954806896945
Casanare,2019-01-20,0.0
Cauca,2019-01-20,0.09802589828116502
Cesar,2019-01-20,0.25642184409582397
Choco,2019-01-20,1.6850395510663412
Cordoba,2019-01-20,0.3470166821996471
Cundinamarca,2019-01-20,0.6873363924504596
Guainia,2019-01-20,2.991723793399645
Guajira,2019-01-20,0.0
Guaviare,2019-01-20,2.52546930538458
Huila,2019-01-20,0.0
Magdalena,2019-01-20,0.0
Meta,2019-01-20,0.38019128375203176
Narino,2019-01-20,0.0
Norte De Santander,2019-01-20,0.09744754641976398
Putumayo,2019-01-20,5.674948122819209
Quindio,2019-01-20,0.0
Risaralda,2019-01-20,0.0
San Andres Y Providencia,2019-01-20,
Santander,2019-01-20,0.00737104335061859
Sucre,2019-01-20,0.0
Tolima,2019-01-20,0.06566367815516636
Valle Del Cauca,2019-01-20,0.0
Vaupes,2019-01-20,10.094751444850885
Vichada,2019-01-20,0.3008544610637492
Amazonas,2019-01-21,12.450592533167455
Antioquia,2019-01-21,3.792491794187275
Arauca,2019-01-21,0.0
Atlantico,2019-01-21,0.0
Bolivar,2019-01-21,4.323334493138403
Boyaca,2019-01-21,0.050561519760095146
Buenaventura,2019-01-21,0.0
Caldas,2019-01-21,0.0725662508575208
Caqueta,2019-01-21,1.5142341095809846
Casanare,2019-01-21,3.3778640467963666E-4
Cauca,2019-01-21,0.0
Cesar,2019-01-21,1.5498252524508878
Choco,2019-01-21,9.064410489842121
Cordoba,2019-01-21,2.2281406482694557
Cundinamarca,2019-01-21,0.10171948759068485
Guainia,2019-01-21,5.457508080231494
Guajira,2019-01-21,0.3611125080736058
Guaviare,2019-01-21,0.4204681883821205
Huila,2019-01-21,0.0
Magdalena,2019-01-21,0.6996382468937826
Meta,2019-01-21,0.03187934638745305
Narino,2019-01-21,0.0
Norte De Santander,2019-01-21,2.4717044683812652
Putumayo,2019-01-21,0.02239338942144868
Quindio,2019-01-21,0.029419927986585125
Risaralda,2019-01-21,0.0
San Andres Y Providencia,2019-01-21,
Santander,2019-01-21,0.6810958681233757
Sucre,2019-01-21,2.268677054609956
Tolima,2019-01-21,0.5803533198206119
Valle Del Cauca,2019-01-21,0.0
Vaupes,2019-01-21,5.522748981265499
Vichada,2019-01-21,1.1229831030097215
Amazonas,2019-01-22,30.881080224771342
Antioquia,2019-01-22,0.0
Arauca,2019-01-22,0.0
Atlantico,2019-01-22,0.0
Bolivar,2019-01-22,0.0
Boyaca,2019-01-22,0.0
Buenaventura,2019-01-22,0.0
Caldas,2019-01-22,0.0
Caqueta,2019-01-22,8.566861334754849
Casanare,2019-01-22,0.0
Cauca,2019-01-22,0.0
Cesar,2019-01-22,0.020092094917766198
Choco,2019-01-22,0.02104615878076901
Cordoba,2019-01-22,0.0
Cundinamarca,2019-01-22,0.0
Guainia,2019-01-22,6.8715894628531835
Guajira,2019-01-22,0.05168265735623717
Guaviare,2019-01-22,2.049860723701527
Huila,2019-01-22,0.0
Magdalena,2019-01-22,0.0
Meta,2019-01-22,0.11025814988800055
Narino,2019-01-22,0.0
Norte De Santander,2019-01-22,0.0
Putumayo,2019-01-22,2.1616933008961428
Quindio,2019-01-22,0.0
Risaralda,2019-01-22,0.0
San Andres Y Providencia,2019-01-22,
Santander,2019-01-22,0.0
