departamento,fecha,temp_celsius
Caqueta,2024-06-10,23.956296649807012
Casanare,2024-06-10,25.406035019243713
Cauca,2024-06-10,18.152090670860826
Cesar,2024-06-10,25.331382494273246
Choco,2024-06-10,24.369503357962866
Cordoba,2024-06-10,26.437067604446636
Cundinamarca,2024-06-10,17.570524854098565
Guainia,2024-06-10,25.308660217575113
Guajira,2024-06-10,26.922208269220842
Guaviare,2024-06-10,25.15200929178057
Huila,2024-06-10,17.58720208943536
Magdalena,2024-06-10,25.41726319604514
Meta,2024-06-10,24.29588662046873
Narino,2024-06-10,20.101659935208005
Norte De Santander,2024-06-10,21.565508721020247
Putumayo,2024-06-10,23.364595483547962
Quindio,2024-06-10,16.058905279444776
Risaralda,2024-06-10,17.851816275237326
San Andres Y Providencia,2024-06-10,
Santander,2024-06-10,21.819187487124594
Sucre,2024-06-10,27.319530766144002
Tolima,2024-06-10,19.525046324002606
Valle Del Cauca,2024-06-10,19.348423516228024
Vaupes,2024-06-10,24.791118457738477
Vichada,2024-06-10,25.677254821574326
Amazonas,2024-06-11,25.20723999049385
Antioquia,2024-06-11,21.842169017333276
Arauca,2024-06-11,24.8092080490421
Atlantico,2024-06-11,27.668778365144693
Bolivar,2024-06-11,25.90209398684514
Boyaca,2024-06-11,15.226423896215664
Buenaventura,2024-06-11,
Caldas,2024-06-11,19.29897663819446
Caqueta,2024-06-11,23.973082762597247
Casanare,2024-06-11,25.266882767963267
Cauca,2024-06-11,18.657119425163366
Cesar,2024-06-11,25.260783969584157
Choco,2024-06-11,24.431490533416216
Cordoba,2024-06-11,26.22328630711797
Cundinamarca,2024-06-11,17.279997819528973
Guainia,2024-06-11,25.81215108337924
Guajira,2024-06-11,27.025098048808402
Guaviare,2024-06-11,24.565141064779628
Huila,2024-06-11,17.54729707352196
Magdalena,2024-06-11,25.47944128805209
Meta,2024-06-11,23.82271430646993
Narino,2024-06-11,20.45021276651852
Norte De Santander,2024-06-11,21.627406051702025
Putumayo,2024-06-11,23.202419561340918
Quindio,2024-06-11,16.438704758222684
Risaralda,2024-06-11,18.208112120007907
San Andres Y Providencia,2024-06-11,
Santander,2024-06-11,21.483465872646715
Sucre,2024-06-11,27.084525691873086
Tolima,2024-06-11,19.348086840281113
Valle Del Cauca,2024-06-11,19.75235430990112
Vaupes,2024-06-11,25.052143569388416
Vichada,2024-06-11,26.33631208424934
Amazonas,2024-06-12,25.005631150369574
Antioquia,2024-06-12,22.322563989700065
Arauca,2024-06-12,24.9417907882671
Atlantico,2024-06-12,27.933087459823582
Bolivar,2024-06-12,26.303952654818907
Boyaca,2024-06-12,15.279419387947572
Buenaventura,2024-06-12,
Caldas,2024-06-12,19.368516071452532
Caqueta,2024-06-12,24.185415616830877
Casanare,2024-06-12,25.524172118444795
Cauca,2024-06-12,18.927555020546187
Cesar,2024-06-12,25.479216722125454
Choco,2024-06-12,24.600157609739295
Cordoba,2024-06-12,26.597491547594387
Cundinamarca,2024-06-12,17.07488840584837
Guainia,2024-06-12,24.840697120264544
Guajira,2024-06-12,27.09263934196777
Guaviare,2024-06-12,24.437175305556643
Huila,2024-06-12,18.023988401886125
Magdalena,2024-06-12,25.873423547233497
Meta,2024-06-12,24.030641221616328
Narino,2024-06-12,20.533052914546825
Norte De Santander,2024-06-12,21.83965414797201
Putumayo,2024-06-12,23.868590827351106
Quindio,2024-06-12,16.9202564288097
Risaralda,2024-06-12,18.439947109748527
San Andres Y Providencia,2024-06-12,
Santander,2024-06-12,21.74611888244095
Sucre,2024-06-12,27.548141619628726
Tolima,2024-06-12,19.679105109683324
Valle Del Cauca,2024-06-12,19.856758872072938
Vaupes,2024-06-12,24.729578254366704
